Date,corn_it ,wheat_it,soybeans_it ,corn_us,wheat_us ,soybeans_us ,Brent Blend euro/Barrel,M1,M2,3 month,10 year,US/Euro
9-Feb-01,132.58,166.49,240.73,101.22,115.88,197.21,32.16,77.5,67,163.6,129.2,63.3
16-Feb-01,132.82,165.72,238.7,101.09,115.71,198.95,29.2,76.1,67.1,163.2,128.7,62.6
23-Feb-01,132.72,164.7,235.67,102.82,118.47,198.22,28.77,77.2,67.2,161.3,129.2,61.9
2-Mar-01,132.52,164.08,235.73,98.6,112.43,191.11,26.99,78,67.2,156.3,124.7,62.8
9-Mar-01,132.02,163.97,233.53,99.6,117.8,192.02,27.41,78.6,68.2,153,124.7,63.3
16-Mar-01,131.44,162.66,231.8,103.84,123.82,193.22,26.95,77.5,68.3,148,122.4,62.1
23-Mar-01,131.12,162.24,231.8,100.27,114.79,193.35,26.63,78.5,68.4,141.4,120.4,61.1
30-Mar-01,130.72,161.91,234.4,104.09,113.16,192.82,27,78.9,68.3,139.7,124.7,60.4
6-Apr-01,130.56,159.88,236.97,99.08,112.72,190.49,26.81,80.9,69,132.8,124.7,61
13-Apr-01,132,159.7,241.67,99.88,109.52,191.11,29.89,78.5,69.7,129.1,128,60.7
20-Apr-01,132.48,159.48,243.4,98.65,110.67,187.72,28.41,80,70.1,128.1,132,60.6
27-Apr-01,133.3,159.03,251.5,92.83,111.68,184.77,29.95,80.2,69.4,123.2,132.2,61.1
4-May-01,134.96,159.21,251.5,95.13,116.94,195.35,30.65,80.3,68.5,125.2,133,60.7
11-May-01,137.32,159.61,250.2,97.61,115.29,199.46,31.67,78.1,68.7,120.9,133.2,60.2
18-May-01,136.18,159.52,255.6,97.66,97.66,205.97,33.54,77.9,68.6,117.2,137.5,59.9
25-May-01,135.32,159.52,229.92,95.32,95.32,206.47,33.51,79.1,68.6,118.5,137.5,58.8
1-Jun-01,135.08,159.41,233.1,94.85,120.16,211.28,33.98,79.6,68.3,118.9,138,58
8-Jun-01,134.38,154.8,227.81,97.63,116.93,215.54,34.9,80.4,69.3,117.9,134,57.8
15-Jun-01,133.08,122.92,214.58,96.47,114,209.12,32.54,78.6,69.4,115.2,133,58.1
22-Jun-01,133.5,145.27,180.81,98.44,117.62,197.55,31.2,79.7,69.5,113.2,131.7,58.3
29-Jun-01,134.5,149.83,237.87,96.45,118.19,223.8,30.81,79.8,68.7,114.9,133.2,58.3
6-Jul-01,133.56,152.32,225.63,102.48,118.76,231.89,31.42,81.9,69.3,118.2,136.3,57.5
13-Jul-01,132.04,152.39,230.6,108.35,120.51,240.32,27.99,79.9,69.9,117.2,133.8,58.2
20-Jul-01,129.4,152.13,228.72,105.98,126.44,221.27,26.31,80.1,69.8,115.6,130.2,58.9
27-Jul-01,127.66,152.03,248.73,104.06,123.62,228.52,27.93,80.7,69.4,115.2,130,59.6
3-Aug-01,126.34,151.92,240.18,106.4,122.04,218.75,28.98,81.7,69.4,114.6,129.2,59.9
10-Aug-01,126.34,151.92,228.83,102.76,113.48,227.8,28.82,80.6,70.2,112.9,128,60.2
17-Aug-01,126.34,151.92,227.34,103.08,113.19,218.23,27.07,79.9,70.2,110.6,124.7,61.9
24-Aug-01,125.44,152.16,211.14,100.71,114.77,206.75,28.69,81.1,70.1,110.3,123.4,62.3
31-Aug-01,122.08,152.16,210.73,101.12,118.16,206.82,29.13,81.7,69.9,110.3,121.9,62.1
