,Raw Milk,GP W,GP R,PR W,PR R,  UHT,Butter,Mozzarella
93,112.06,141.94,138.31,127.80,132.29,106.19,106.34,103.70
94,113.51,141.94,138.31,127.69,132.16,106.49,111.22,103.70
95,114.24,140.63,138.31,126.92,133.24,103.42,117.07,103.70
96,117.01,138.32,138.31,126.04,133.24,101.67,128.29,103.70
97,116.39,134.38,138.31,125.27,139.89,99.95,139.02,103.70
98,116.39,133.22,138.31,124.18,139.89,103.52,136.59,103.70
99,116.39,133.22,138.31,124.18,131.41,101.86,138.05,103.70
100,116.74,133.22,138.31,124.18,131.41,100.58,150.24,103.70
101,117.38,132.24,137.87,122.75,131.34,101.49,156.10,103.70
102,117.86,128.29,137.87,121.21,133.18,100.75,158.54,103.70
103,118.51,126.32,137.87,120.66,133.58,103.18,163.41,110.62
104,121.55,127.14,137.87,120.66,133.58,104.26,170.73,113.33
105,122.48,133.22,137.87,120.88,133.51,100.83,170.73,117.28
106,122.79,136.51,138.31,121.21,134.53,102.64,168.29,117.28
107,123.19,138.16,137.96,121.21,134.46,102.73,162.93,117.28
108,123.33,138.16,138.22,121.21,134.67,101.89,163.41,117.28
109,124.05,138.16,139.37,121.21,134.67,99.45,160.98,117.28
110,126.77,137.34,139.46,121.21,134.53,107.83,143.90,117.28
111,128.18,133.22,139.28,119.45,134.94,106.95,140.49,117.28
112,127.99,129.44,139.02,116.92,134.94,106.11,134.15,117.28
113,126.76,127.47,138.66,114.73,135.55,104.65,124.39,117.28
114,126.76,125.16,138.49,111.65,135.55,105.26,124.39,117.28
115,125.79,124.67,138.22,110.99,135.55,104.94,126.83,117.28
116,125.79,122.37,138.22,109.12,135.69,103.53,129.27,117.28
117,116.80,120.89,135.63,107.03,133.48,100.78,126.83,117.28
118,119.80,118.59,133.05,104.73,131.25,96.49,124.39,117.28
